Country,Region/State,City,"Zip/Postal Code From","Zip/Postal Code To",Weight>,Weight<=,"Shipping Price","Shipping Method",Discount
AU,*,*,2575,2647,15,16,133.3,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,15,16,39.4,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,16,17,143.1,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,16,17,41.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,17,18,152.9,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,17,18,43.2,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,18,19,162.7,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,18,19,45.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,19,20,172.5,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,19,20,47,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,20,21,182.3,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,20,21,48.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2575,2647,21,22,192.1,"""""""AU POST Express""""""",""
AU,*,*,2575,2647,21,22,50.8,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,5,6,27.15,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,5,6,20.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,6,7,28.8,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,6,7,21.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,7,8,30.45,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,7,8,23.3,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,8,9,32.1,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,8,9,24.9,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,9,10,33.75,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,9,10,26.5,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,10,11,35.4,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,10,11,28.1,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,11,12,37.05,"""""""AU POST Express""""""",""
AU,*,*,2640,2641,11,12,29.7,"""""""AU POST Standard (Monday-Friday)""""""",""
AU,*,*,2640,2641,12,13,38.7,"""""""AU POST Express""""""",""
